"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000081320",893.129885250349,-4.23467332471042,0.684747210318106,-6.18428707835576,6.23837508034867e-10,3.15958535102451e-08,"STK17B"
"ENSG00000083312",975.101395367317,-3.34682334307387,0.928376151197965,-3.60502942557838,0.000312117561979325,0.00385429421947345,"TNPO1"
"ENSG00000083807",893.585369509259,-3.04985165125215,0.755830633974973,-4.03509928568619,5.45792132824279e-05,0.000709554094959122,"SLC27A5"
"ENSG00000084674",256.24817323918,-8.3031810707217,1.8552443517522,-4.47551885167023,7.62259723727728e-06,0.000133879608189699,"APOB"
"ENSG00000085741",962.248208143961,-1.92424619172261,0.38623940107118,-4.98200387217356,6.2929175378423e-07,2.75237306344038e-05,"WNT11"
"ENSG00000087299",1077.03817413728,-2.36145526681176,0.561645708751907,-4.20452828182273,2.61627224755646e-05,0.000347403323977991,"L2HGDH"
"ENSG00000087301",1048.82062852326,-2.34457731951527,0.81488286943339,-2.87719549331736,0.00401226942078795,0.0431980209390384,"TXNDC16"
"ENSG00000091127",797.634422110803,-2.432880612819,0.781384921719564,-3.11354947503345,0.00184851514855534,0.0209831643691848,"PUS7"
"ENSG00000091164",960.206039196971,-2.87454992996811,0.450748253688264,-6.37728467375524,1.80255221264003e-10,9.30723109722968e-09,"TXNL1"
"ENSG00000093072",662.582889947093,-2.76365555495446,0.974272247522378,-2.83663581917947,0.00455915825074087,0.0484356604693603,"ADA2"
"ENSG00000099960",623.864671596478,-9.56908266608664,0.946588964451885,-10.1090156609078,5.03879764182395e-24,1.19509628947098e-21,"SLC7A4"
"ENSG00000100312",426.97687785991,-9.04171529464955,1.8382473061217,-4.91866097915062,8.71382386335146e-07,3.65767458367701e-05,"ACR"
"ENSG00000100354",855.495005522503,-4.30505425897725,0.676700535213643,-6.36183072859265,1.99363083575057e-10,1.02756523624296e-08,"TNRC6B"
"ENSG00000100557",353.808181486208,-9.03706523200371,1.95940173629462,-4.61215536589933,3.98514937273459e-06,9.66407004578438e-05,"CCDC198"
"ENSG00000100600",1053.0996152766,-2.56834271387962,0.326263135506092,-7.87199788874605,3.49022054078773e-15,2.11684415460292e-13,"LGMN"
"ENSG00000100997",708.912011423756,-4.26791458154834,0.821038560791703,-5.19819017688148,2.01238190249903e-07,9.42330934857212e-06,"ABHD12"
"ENSG00000101082",864.897993911084,-3.91538877370592,0.551817410127335,-7.09544262621656,1.28938138305671e-12,7.31811733227888e-11,"SLA2"
"ENSG00000101162",304.816743603237,-8.35216584263963,1.8354120559634,-4.55056716855638,5.35015042936955e-06,0.000109353623701136,"TUBB1"
"ENSG00000101892",249.65636615253,-8.99580654700222,1.93550277436249,-4.64778798881611,3.35513489691609e-06,8.77055110642768e-05,"ATP1B4"
"ENSG00000101945",953.924875013829,-3.33235042461577,0.224066010094172,-14.8721817432962,4.99583594035613e-50,1.45743521888009e-45,"SUV39H1"
"ENSG00000102243",300.040803920683,-8.90232326909026,1.91106164191664,-4.6583129888798,3.1881124059238e-06,8.69611559945316e-05,"VGLL1"
"ENSG00000104388",688.178271575888,-3.52187890159306,1.14757858549625,-3.06896533806448,0.00214801511864565,0.0241666197671614,"RAB2A"
"ENSG00000104723",1044.94962071763,-1.529651296158,0.304636679187113,-5.021231521561,5.1341229489935e-07,2.27625788436151e-05,"TUSC3"
"ENSG00000104894",1114.31093792581,-1.97458320362766,0.229841322378398,-8.59107136695297,8.61620921691817e-18,5.63588949518282e-16,"CD37"
"ENSG00000105261",250.148187080073,-7.99146595147529,1.80776028086491,-4.42064472599865,9.84068512385092e-06,0.000154921680145687,"OVOL3"
"ENSG00000105327",681.467126154052,-2.05474725876188,0.540245239014986,-3.80336023415632,0.000142746544706184,0.00180889416670272,"BBC3"
"ENSG00000106018",460.340401032601,-4.53904635676513,1.54275673731339,-2.94216595979323,0.00325925204631101,0.0355181770440908,"VIPR2"
"ENSG00000106038",391.074337387233,-8.93963023940968,1.90064600726186,-4.70346934950209,2.55777509262254e-06,7.71643979080428e-05,"EVX1"
"ENSG00000107738",946.2257154872,-4.77893481508509,0.632934913600955,-7.55043640727024,4.33802175657125e-14,2.5618038199282e-12,"VSIR"
"ENSG00000107859",575.973613562456,-9.7750432499257,1.10249137885357,-8.86632171227526,7.56018385864105e-19,5.50008089047719e-17,"PITX3"
"ENSG00000108342",345.296370367685,-9.46439314018737,1.93982078191064,-4.87900388966106,1.06622961637474e-06,4.33823104581594e-05,"CSF3"
"ENSG00000108821",1065.26751836833,-1.20379869697551,0.193666145876144,-6.21584475453637,5.10492569971552e-10,2.59452957208713e-08,"COL1A1"
"ENSG00000110047",992.028922713557,-3.29894714640205,0.608320228551046,-5.42304363979445,5.85926804706536e-08,2.83000706518275e-06,"EHD1"
"ENSG00000111339",879.258719358067,-2.06244792996278,0.436892903903578,-4.72071739214598,2.35014279372067e-06,7.46966607032705e-05,"ART4"
"ENSG00000111371",1057.65541000093,-2.10922636401712,0.48273916152286,-4.36928787248854,1.24652357597158e-05,0.000185251310656235,"SLC38A1"
"ENSG00000112303",1009.44500326934,-1.30485402258616,0.220034246261958,-5.93023151965485,3.02507836738665e-09,1.51633352597544e-07,"VNN2"
"ENSG00000112425",1070.97566424959,-2.17284945365315,0.345631016135028,-6.28661593496656,3.24460735984682e-10,1.66061281594406e-08,"EPM2A"
"ENSG00000112514",333.624713589101,-9.05557225985235,1.89548125511594,-4.77745281595964,1.77529689973931e-06,6.22649533922463e-05,"CUTA"
"ENSG00000112852",734.453010711072,-2.29255209959102,0.605590464593897,-3.78564761769884,0.000153308793633876,0.00194117944300393,"PCDHB2"
"ENSG00000113600",258.857373457813,-8.04090287045677,1.81766304008306,-4.42375880080024,9.69983102720221e-06,0.00015463014784512,"C9"
"ENSG00000114439",914.404891310915,-4.21901410328471,0.65802338163787,-6.4116477028267,1.43955193397154e-10,7.44610790243825e-09,"BBX"
"ENSG00000114812",1140.76229570537,-1.01133169304409,0.317123442936531,-3.18907893935328,0.00142726896720711,0.0164603532036698,"VIPR1"
"ENSG00000115085",843.253057429715,-2.89482581415052,0.758240250346314,-3.81782134729508,0.000134635360779204,0.00170844601131436,"ZAP70"
"ENSG00000115705",1149.47351334805,-1.30864718707743,0.361684582571058,-3.6182000841032,0.000296659017037083,0.00366868736923392,"TPO"
"ENSG00000117308",1000.47450168376,-1.9998927644519,0.252525668368114,-7.91956230578746,2.38348108329568e-15,1.45163452281806e-13,"GALE"
"ENSG00000118507",979.304367568573,-2.34291857462245,0.512520271410467,-4.5713676225424,4.84551351952099e-06,0.000105648853441693,"AKAP7"
"ENSG00000118596",1148.70923861173,-1.62054066090766,0.25806158844815,-6.27966630234573,3.39300488412315e-10,1.73352244281129e-08,"SLC16A7"
"ENSG00000119703",998.695486363924,-2.38945322111685,0.772044066286207,-3.0949699964808,0.00196832807200047,0.0222393628367427,"ZC2HC1C"
"ENSG00000119820",967.707245725925,-3.67036856641998,0.485317146335906,-7.56282483347412,3.94408586634031e-14,2.33389081092791e-12,"YIPF4"
