"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000112038",347.32736316281,9.00641024514624,1.95059860869702,4.61725452124793,3.88850236521622e-06,9.5487609007115e-05,"OPRM1"
"ENSG00000112499",282.981121247049,8.39459270414806,1.85073145934209,4.53582428816129,5.73789377390654e-06,0.000113639901606365,"SLC22A2"
"ENSG00000112576",926.17185178858,3.36002940505307,0.413570979680462,8.12443225017658,4.49461296206414e-16,2.7838926527027e-14,"CCND3"
"ENSG00000113205",666.850620900967,2.74897042161537,0.700863122152422,3.92226432626817,8.77206807092049e-05,0.00112834013153864,"PCDHB3"
"ENSG00000113430",405.816299176256,8.90099415756278,0.971480794970204,9.1622955426883,5.08048775350284e-20,4.69028700104236e-18,"IRX4"
"ENSG00000114115",844.23772270015,1.90131173172822,0.416503312521448,4.56493783979283,4.99642364927772e-06,0.000106550195263435,"RBP1"
"ENSG00000114650",697.300766363256,3.10306330767157,0.826627008501484,3.7538857014808,0.000174114281456447,0.00219414079176196,"SCAP"
"ENSG00000115216",877.940302697942,4.47164330770152,0.957312620304246,4.67103766612873,2.99681974787985e-06,8.4655743551836e-05,"NRBP1"
"ENSG00000115556",833.388761039424,2.22384763531725,0.681256237291804,3.26433361426194,0.00109721886577879,0.0128036663885459,"PLCD4"
"ENSG00000115598",713.428251747243,3.63573150546675,1.1838149761613,3.07119911361162,0.00213200923366926,0.0239957968263245,"IL1RL2"
"ENSG00000115665",351.789446010905,9.02348136406171,1.20205188448764,7.50673201424067,6.06216486215826e-14,3.55838099645358e-12,"SLC5A7"
"ENSG00000115884",901.70139625461,2.06990030544249,0.609469018330366,3.39623548234323,0.000683195557515782,0.00819525657870391,"SDC1"
"ENSG00000116260",933.081108868383,1.64021676533167,0.551366182037986,2.97482293757847,0.00293157705653924,0.0322971667184363,"QSOX1"
"ENSG00000116604",737.231617502002,2.92637858446683,0.882424769048739,3.31629243320254,0.000912203215502163,0.0107522038003413,"MEF2D"
"ENSG00000116703",405.472095611398,9.64210047437029,1.11672035831114,8.63430168762432,5.90868707976779e-18,3.87357591411384e-16,"PDC"
"ENSG00000116745",312.945476764933,8.26426568974521,1.839451054868,4.49278912199067,7.02963856249009e-06,0.000127693428258732,"RPE65"
"ENSG00000117501",313.384551347188,8.85759454197198,1.91969589584279,4.61406130062246,3.94875876964919e-06,9.63186785844279e-05,"MROH9"
"ENSG00000118017",324.53075180107,8.57699112282721,1.85249825035007,4.62995909507951,3.65737975252094e-06,9.33491750172795e-05,"A4GNT"
"ENSG00000118245",238.771918523442,8.46449434810749,1.9581367069898,4.32272900962045,1.54110980749727e-05,0.00021803490016546,"TNP1"
"ENSG00000118733",250.032432051647,8.94263829177047,1.99406168073517,4.48463474232828,7.3038940250029e-06,0.000130401775025343,"OLFM3"
"ENSG00000119125",248.537205222445,8.93375589399441,1.96379444937786,4.54923166567901,5.38421426301668e-06,0.000109353623701136,"GDA"
"ENSG00000119318",971.727289572341,2.35474969744933,0.707468779845791,3.32841499799129,0.000873416536669543,0.0103451809274302,"RAD23B"
"ENSG00000119655",941.015092540491,2.97985067701007,0.362842797699966,8.21251157773868,2.16609165552226e-16,1.34736443212262e-14,"NPC2"
"ENSG00000120068",239.113105817841,7.8746996019139,1.87815081459993,4.19279407207313,2.75539548739464e-05,0.000364714848247567,"HOXB8"
"ENSG00000120210",306.156992951754,8.23275031233369,1.8014116782469,4.57016594915476,4.873381572325e-06,0.000105867463733216,"INSL6"
"ENSG00000120708",839.009970684144,3.71474117175506,0.80889557474085,4.59236184218855,4.38257637857857e-06,0.000100434328902021,"TGFBI"
"ENSG00000122043",248.585431336788,8.50336009904479,1.98679063268013,4.27994775049547,1.86937194834773e-05,0.000258705824711329,NA
"ENSG00000122548",363.943858040496,9.07398383487846,1.94815523131102,4.65773142152131,3.19712935094221e-06,8.70866989309403e-05,"KIAA0087"
"ENSG00000122585",465.278553044073,9.41842313278347,1.03511621064128,9.09890409980972,9.1247871637559e-20,8.01799445567021e-18,"NPY"
"ENSG00000124249",885.350384859871,1.69635227331124,0.466075524825688,3.63965105000026,0.000273007754142277,0.00338912987727347,"KCNK15"
"ENSG00000124333",238.768902252983,8.46946415801022,1.95774930439753,4.32612293054374,1.51756751487116e-05,0.000215435509057598,"VAMP7"
"ENSG00000124766",958.810050582063,2.26824686574638,0.563446470851686,4.02566522835396,5.68144701461461e-05,0.000737955715749564,"SOX4"
"ENSG00000125385",248.881408787303,8.18859015576988,1.87907471848547,4.35777783353387,1.31389654072424e-05,0.000193380748332331,NA
"ENSG00000125388",1091.37001708129,1.55662805437402,0.267403671303274,5.82126657718391,5.84033301061075e-09,2.90255596113369e-07,"GRK4"
"ENSG00000125538",986.162456165714,1.25793149600072,0.39252043155917,3.2047541856712,0.00135177872786537,0.0156241841632395,"IL1B"
"ENSG00000125878",963.791835064889,2.05502386065598,0.616905671751111,3.33118004057689,0.000864786511542894,0.010259624604002,"TCF15"
"ENSG00000125899",402.790046011536,8.90531221950237,1.89124116779422,4.70871318325243,2.49285554377074e-06,7.6956692887221e-05,NA
"ENSG00000128710",287.358727230228,9.14356983378353,1.96542136674865,4.65221859723114,3.28382695740549e-06,8.75352674800228e-05,"HOXD10"
"ENSG00000129595",804.836641262402,2.30389639540418,0.632573755649274,3.64209924112241,0.000270423775013792,0.00335848139143352,"EPB41L4A"
"ENSG00000129657",652.087219659543,3.10538426093087,0.913401966041628,3.39980028112765,0.000674350893344976,0.00809915134275545,"SEC14L1"
"ENSG00000130202",830.557778207911,3.97075864681173,1.13774388549464,3.49002855338169,0.000482968941056553,0.0058707725913891,"NECTIN2"
"ENSG00000130649",691.603396455214,3.44610860495673,0.964122744752351,3.5743463409754,0.000351103930945989,0.00432001475220892,"CYP2E1"
"ENSG00000130675",276.193444958874,9.08648529514817,1.93078247615587,4.70611547772025,2.52481534441268e-06,7.71643979080428e-05,"MNX1"
"ENSG00000130957",486.172575736132,9.16436850722264,0.952401225994894,9.62238209810092,6.43239611490172e-22,9.92869269100677e-20,"FBP2"
"ENSG00000131096",681.804590533432,9.3913424999898,0.785033943664182,11.962976347437,5.55350440710357e-33,1.56732174078478e-29,"PYY"
"ENSG00000131981",828.040101955624,2.34613987848071,0.660408699308307,3.55255750104139,0.000381505627934829,0.0046724028899004,"LGALS3"
"ENSG00000132405",752.539522337985,3.3736607459852,0.944676164806071,3.57123517208436,0.000355301687719186,0.00436613990557363,"TBC1D14"
"ENSG00000132671",355.331029699396,8.44825878800876,1.81205532322937,4.66225212867817,3.12767681345438e-06,8.59978470112203e-05,"SSTR4"
"ENSG00000132872",276.371476607038,8.65728742092325,1.88596322567999,4.59037976087886,4.42440274987815e-06,0.000101154468199213,"SYT4"
"ENSG00000133256",328.144805555728,2.27663475345524,0.687479542770201,3.31156727119694,0.000927749311210877,0.0109266171400706,"PDE6B"
"ENSG00000134193",282.809344600997,8.39389296925107,1.91921657648725,4.37360382985772,1.22212077491791e-05,0.000183189718774776,"REG4"
"ENSG00000134243",764.290209599251,2.84064050280397,0.85825614708677,3.30978171545421,0.000933687547429445,0.0109876832679142,"SORT1"
"ENSG00000134463",379.882944905329,2.21996484820774,0.656255253002639,3.38277650053159,0.000717570034225381,0.00859034904129842,"ECHDC3"
"ENSG00000134595",655.868120215478,9.92271122380061,0.914186454720068,10.854143782779,1.90584511471721e-27,1.09018077513029e-24,"SOX3"
"ENSG00000134668",1031.80738514708,1.18047631141174,0.365419444708538,3.23046933737558,0.00123587159849787,0.0143470283099794,"SPOCD1"
"ENSG00000134760",237.347856120115,8.45590636302426,1.9480970531032,4.34059809779729,1.42095413681716e-05,0.00020552055048769,"DSG1"
"ENSG00000136378",810.226051700989,2.25527870206231,0.672972702438606,3.35121869563209,0.000804567354909849,0.00958026263052449,"ADAMTS7"
"ENSG00000136848",808.639787238497,2.950323706745,0.583047677802622,5.06017572673322,4.18870258953825e-07,1.885756491429e-05,"DAB2IP"
"ENSG00000137270",444.637821184039,9.03323067274641,0.953481706192639,9.47394230437532,2.69476830254474e-21,3.43294653668724e-19,"GCM1"
"ENSG00000137473",344.956866966136,9.40771108832755,1.98638641583708,4.7360931454835,2.17877480970702e-06,7.15465545333993e-05,"TTC29"
"ENSG00000137860",591.887361196241,9.45482989273114,0.864278429839935,10.9395648049231,7.45569304881842e-28,5.30499837349219e-25,"SLC28A2"
"ENSG00000138376",503.845188480224,2.94576900563276,0.946318916203451,3.11287131134494,0.00185276786535236,0.0210150843452273,"BARD1"
"ENSG00000138434",719.470137523491,3.67455616643261,0.887905386010845,4.13845464204418,3.49652978422124e-05,0.000459685729585788,"ITPRID2"
"ENSG00000138617",518.238135758585,3.92639661762549,0.944513102883959,4.15705891812057,3.22370873546632e-05,0.000424391944674003,"PARP16"
"ENSG00000139445",361.939012474477,8.73745947843276,0.980660430140829,8.90977060956564,5.11382582512586e-19,3.78643758366489e-17,"FOXN4"
