"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000020577",1256.38056597142,-0.914421111191309,0.188547916256985,-4.84980756798701,1.23581306754181e-06,4.83275799187631e-05,"SAMD4A"
"ENSG00000023445",917.887673760873,-2.61516474115194,0.340078168988399,-7.689893029391,1.47258094119587e-14,8.80319749948916e-13,"BIRC3"
"ENSG00000026103",1265.94694596499,-0.379481509403967,0.102559041608433,-3.70012729694585,0.000215491345957293,0.00269692365320125,"FAS"
"ENSG00000026297",1035.50075955503,-2.24780090426023,0.48112253554147,-4.67199255534869,2.98291773923894e-06,8.44860768998228e-05,"RNASET2"
"ENSG00000029559",598.142038771436,-9.85245450488017,0.943048249001083,-10.4474553823904,1.50509304050122e-25,4.93349205286989e-23,"IBSP"
"ENSG00000036473",622.540997372691,9.84900321955178,0.935814130223511,10.5245292857455,6.65934568271663e-26,2.4591530582518e-23,"OTC"
"ENSG00000039650",1549.39613026153,-0.226736327592914,0.0793640050293128,-2.85691640069285,0.00427778490757194,0.0457127542522331,"PNKP"
"ENSG00000044090",1488.13441046266,-0.356349978060557,0.101102563921251,-3.52463838936981,0.00042406124417958,0.00517404377936047,"CUL7"
"ENSG00000050165",1440.03400038301,-0.476863527663233,0.0946161481468588,-5.03998035222346,4.65579641664299e-07,2.08318326476574e-05,"DKK3"
"ENSG00000050344",900.535646778308,-0.678325143692863,0.221422607608356,-3.06348638478985,0.00218774159964003,0.024575658716326,"NFE2L3"
"ENSG00000054179",979.188982468857,-1.22264830029807,0.279787575557047,-4.36991634765706,1.24294142177951e-05,0.000184813099376012,"ENTPD2"
"ENSG00000057294",1419.15778863354,-0.300758604921573,0.10141579042918,-2.96559937706738,0.0030209372777011,0.0331626531447806,"PKP2"
"ENSG00000057657",747.954001427238,2.60547415152299,0.474387192329953,5.49229446673339,3.9674515154513e-08,1.93226148681571e-06,"PRDM1"
"ENSG00000061918",892.557149408198,-0.689811864641942,0.239017904033108,-2.88602591271318,0.00390140034095978,0.0420604405568439,"GUCY1B1"
"ENSG00000062716",390.181982265131,-2.5269176944768,0.86717085300973,-2.91397904542861,0.00356853858973069,0.0387295298654067,"VMP1"
"ENSG00000063127",1338.82301924587,0.537230054485997,0.122767552098242,4.37599386241808,1.20880415401566e-05,0.000182057013862152,"SLC6A16"
