GeneID	GSM7020412	GSM7020417	GSM7020416	GSM7020415	GSM7020414	GSM7020413
ENSG00000006625	121	339	143	318	170	481
ENSG00000006634	98	90	126	104	104	97
ENSG00000006638	53	98	26	81	46	56
ENSG00000006652	192	200	180	228	164	160
ENSG00000006659	0	0	0	0	0	0
ENSG00000006695	170	100	133	123	146	143
ENSG00000006704	462	848	395	731	342	752
ENSG00000006712	767	678	677	629	632	775
ENSG00000006715	771	527	493	547	547	669
ENSG00000006740	557	429	315	352	206	387
ENSG00000006744	875	882	796	763	754	771
ENSG00000006747	30	54	18	87	66	52
ENSG00000006756	1073	591	548	836	715	886
ENSG00000006757	323	120	197	186	286	221
ENSG00000006788	0	1	1	1	1	1
ENSG00000006831	1186	534	724	636	778	598
ENSG00000006837	18	16	18	18	21	20
ENSG00000007001	26	8	14	16	4	8
ENSG00000007038	42	6	12	16	16	35
ENSG00000007047	448	349	328	408	312	515
ENSG00000007062	92	20	132	24	93	7
ENSG00000007080	431	481	502	498	626	631
ENSG00000007129	0	0	0	1	0	1
ENSG00000007168	1756	1139	1236	1230	1047	1269
ENSG00000007171	10	10	4	17	4	8
ENSG00000007174	23	28	48	12	15	3
ENSG00000007202	1326	859	684	812	746	1015
ENSG00000007216	2	0	1	0	1	0
ENSG00000007237	360	292	259	275	331	387
ENSG00000007255	308	202	331	199	337	246
ENSG00000007264	176	89	148	174	254	209
ENSG00000007306	0	0	0	0	0	0
ENSG00000007312	565	295	569	402	684	168
ENSG00000007314	181	524	221	332	156	199
ENSG00000007341	180	147	140	119	117	130
ENSG00000007350	1	3	2	2	7	1
ENSG00000007372	4	2	1	1	3	3
ENSG00000007376	292	274	328	303	320	276
ENSG00000007384	448	888	357	728	318	1051
ENSG00000007392	1669	2185	1765	1731	1169	1202
ENSG00000007402	150	151	130	191	79	52
ENSG00000007516	196	1025	166	509	70	380
ENSG00000007520	432	378	427	389	512	592
ENSG00000007541	787	941	890	981	749	830
ENSG00000007545	453	488	453	451	295	280
ENSG00000007866	270	628	291	556	194	439
ENSG00000007908	190	161	36	180	127	324
ENSG00000007923	442	381	328	343	252	263
ENSG00000007933	52	122	86	105	97	49
ENSG00000007944	1247	849	631	774	696	547
ENSG00000007952	7	32	1	18	12	11
ENSG00000007968	82	38	91	67	135	19
ENSG00000008018	704	692	742	708	730	746
ENSG00000008056	6	31	3	22	7	19
ENSG00000008083	381	285	342	269	285	226
ENSG00000008086	244	137	136	143	130	163
ENSG00000008118	7	5	1	11	2	18
ENSG00000008128	73	90	111	56	65	54
ENSG00000008130	843	659	672	660	726	758
ENSG00000008196	0	0	0	0	7	0
ENSG00000008197	0	0	0	0	0	0
ENSG00000008226	125	204	107	147	35	68
ENSG00000008256	1171	591	658	514	623	692
ENSG00000008277	394	129	223	89	129	136
ENSG00000008282	1213	739	975	899	970	793
ENSG00000008283	946	728	870	820	777	635
ENSG00000008294	1615	896	897	861	833	1198
ENSG00000008300	110	98	72	85	37	49
ENSG00000008311	968	645	516	380	438	343
ENSG00000008323	77	50	52	93	49	59
ENSG00000008324	169	129	198	158	226	165
ENSG00000008382	137	127	129	132	148	231
ENSG00000008394	824	879	703	873	693	979
ENSG00000008405	486	354	403	247	239	352
ENSG00000008438	3	6	0	4	1	1
ENSG00000008441	1864	1440	1395	1509	1293	1739
ENSG00000008513	2605	2089	1496	1738	1656	1329
ENSG00000008516	107	65	83	116	150	56
ENSG00000008517	438	459	622	563	665	502
ENSG00000008710	1181	946	710	736	407	565
ENSG00000008735	78	45	38	14	52	32
ENSG00000008838	977	909	721	851	603	780
ENSG00000008853	499	407	411	487	389	799
ENSG00000008869	848	638	712	553	465	392
ENSG00000008952	2370	1684	2372	2125	2334	1966
ENSG00000008988	540	492	561	506	551	530
ENSG00000009307	3648	2231	2256	2479	2563	3024
ENSG00000009335	770	588	506	624	544	637
ENSG00000009413	391	258	319	221	223	241
ENSG00000009694	149	1067	74	1544	78	897
ENSG00000009709	0	0	0	0	0	0
ENSG00000009724	166	71	93	67	40	29
ENSG00000009765	7864	1026	3390	1845	3599	862
ENSG00000009780	265	212	304	276	316	270
ENSG00000009790	877	420	743	414	517	221
ENSG00000009830	614	521	481	466	370	341
ENSG00000009844	436	294	354	306	426	337
ENSG00000009950	88	911	242	476	75	298
ENSG00000009954	1189	881	952	924	1093	916
ENSG00000010017	460	444	379	436	326	478
ENSG00000010030	66	71	95	134	182	100
ENSG00000010072	142	127	137	123	121	110
ENSG00000010165	473	332	308	281	345	410
ENSG00000010219	135	140	167	97	91	114
ENSG00000010244	2029	1558	1681	1680	1471	1384
ENSG00000010256	970	1084	1044	964	1083	1205
ENSG00000010270	421	313	341	389	345	429
ENSG00000010278	1123	1320	1093	1345	971	1188
ENSG00000010282	101	28	28	30	23	264
ENSG00000010292	629	263	265	298	225	238
ENSG00000010295	587	568	609	511	505	423
ENSG00000010310	96	85	114	176	56	63
ENSG00000010318	83	80	70	68	59	70
ENSG00000010319	355	475	111	271	120	413
ENSG00000010322	2507	2343	1850	1969	1258	1944
ENSG00000010327	1005	1440	914	1198	1010	1037
ENSG00000010361	298	333	319	277	205	300
ENSG00000010379	91	85	107	152	85	47
ENSG00000010404	137	78	46	64	42	84
ENSG00000010438	0	3	0	0	3	1
ENSG00000010539	231	176	217	163	204	107
ENSG00000010610	1117	712	1013	1050	1194	797
ENSG00000010626	154	116	182	103	144	135
ENSG00000010671	566	297	459	298	427	187
ENSG00000010704	307	227	199	213	185	248
ENSG00000010803	633	563	466	437	381	573
ENSG00000010810	1042	1431	1048	1181	1001	1312
ENSG00000010818	759	439	489	372	401	428
ENSG00000010932	53	35	73	48	83	28
ENSG00000011007	604	512	499	474	389	406
ENSG00000011009	374	527	399	613	441	580
ENSG00000011021	761	631	551	534	374	441
ENSG00000011028	776	2503	589	1928	635	2236
ENSG00000011052	0	0	0	0	0	0
ENSG00000011083	0	0	1	1	1	6
ENSG00000011105	802	745	444	649	453	870
ENSG00000011114	5	2	1	0	2	1
ENSG00000011132	461	382	434	304	340	359
ENSG00000011143	365	327	301	195	197	189
ENSG00000011198	293	210	275	240	296	331
ENSG00000011201	441	311	184	420	222	401
ENSG00000011243	985	1205	875	941	558	671
ENSG00000011258	595	506	495	467	349	341
ENSG00000011260	352	286	298	338	341	390
ENSG00000011275	984	660	767	646	719	635
ENSG00000011295	746	651	774	708	700	705
ENSG00000011304	2577	2526	2080	2200	1825	2072
ENSG00000011332	2	1	8	6	6	1
ENSG00000011347	80	52	59	75	172	129
ENSG00000011376	337	226	213	222	198	198
ENSG00000011405	990	755	647	706	583	594
ENSG00000011422	97	230	100	435	270	584
ENSG00000011426	45	35	71	56	84	21
ENSG00000011451	782	650	616	571	464	624
ENSG00000011454	1550	870	868	831	756	726
ENSG00000011465	2804	2720	2183	1730	2176	2667
ENSG00000011478	237	211	195	202	212	165
ENSG00000011485	596	668	537	638	451	696
ENSG00000011523	583	352	360	274	242	267
ENSG00000011566	571	370	408	394	315	323
ENSG00000011590	37	24	57	44	57	20
ENSG00000011600	251	316	366	473	532	424
ENSG00000011638	344	245	259	269	236	343
ENSG00000011677	0	1	0	0	0	0
ENSG00000012048	98	84	87	77	127	108
ENSG00000012061	524	619	565	496	494	575
ENSG00000012124	1945	983	1806	1624	1255	1351
ENSG00000012171	871	590	630	494	497	665
ENSG00000012174	226	129	120	216	151	240
ENSG00000012211	182	190	187	192	172	185
ENSG00000012223	1508	880	1483	978	1578	317
ENSG00000012232	572	364	314	422	361	451
ENSG00000012504	1	0	2	0	0	0
ENSG00000012660	1213	811	991	963	1006	1043
ENSG00000012779	0	2	3	2	3	9
ENSG00000012817	0	1807	1586	2	2	0
ENSG00000012822	2057	2156	1530	1899	1106	1923
ENSG00000012963	3	0	0	1	1	2
ENSG00000012983	667	547	521	487	430	439
ENSG00000013016	289	180	173	204	192	135
ENSG00000013275	644	718	741	679	712	734
ENSG00000013288	1798	960	1072	828	746	978
ENSG00000013293	1	1	1	5	1	1
ENSG00000013297	24	114	44	126	47	118
ENSG00000013306	918	1063	1109	1145	1152	1146
ENSG00000013364	1399	1992	1372	1908	1561	2387
ENSG00000013374	1047	883	787	968	950	1018
ENSG00000013375	607	530	505	577	379	399
ENSG00000013392	190	149	166	180	134	108
ENSG00000013441	2362	2458	2372	2089	1489	1642
ENSG00000013503	145	82	120	88	109	112
ENSG00000013523	688	583	447	502	319	450
ENSG00000013561	494	352	420	407	416	475
ENSG00000013563	265	257	189	209	195	220
ENSG00000013573	133	125	146	109	95	78
ENSG00000013583	676	384	532	374	590	618
ENSG00000013588	1476	1585	1096	2934	1333	2386
ENSG00000013619	85	364	56	307	56	211
ENSG00000013725	933	483	808	541	863	358
ENSG00000013810	470	347	618	354	549	237
ENSG00000014123	779	552	650	650	564	466
ENSG00000014138	138	117	157	118	170	139
ENSG00000014164	290	263	325	228	227	249
ENSG00000014216	1707	1497	1315	1392	1350	1883
ENSG00000014257	36	15	11	41	22	57
ENSG00000014641	694	632	715	664	710	814
ENSG00000014824	821	477	641	649	635	689
ENSG00000014914	117	443	87	306	76	304
ENSG00000014919	485	317	421	354	327	318
ENSG00000015133	872	882	793	563	482	304
ENSG00000015153	267	292	276	315	339	364
ENSG00000015171	1639	1054	1191	965	1008	1027
ENSG00000015285	659	402	805	486	759	350
ENSG00000015413	21	16	6	102	29	24
ENSG00000015475	217	461	240	417	352	465
ENSG00000015479	2480	1761	1777	1750	1663	1632
ENSG00000015520	3	2	0	0	3	4
ENSG00000015532	835	696	592	649	516	590
ENSG00000015568	3	4	17	1	2	7
ENSG00000015592	0	1	0	0	0	0
ENSG00000015676	1150	952	866	867	848	1045
ENSG00000016082	0	3	1	0	2	0
ENSG00000016391	282	119	116	82	109	89
ENSG00000016402	101	7	38	7	16	42
ENSG00000016490	0	1	0	0	0	0
ENSG00000016602	0	0	0	0	0	0
ENSG00000016864	413	210	204	234	155	208
ENSG00000017260	1269	827	994	1026	887	916
ENSG00000017427	16	43	48	44	104	49
ENSG00000017483	391	805	636	1266	622	263
ENSG00000017797	713	662	728	623	711	845
ENSG00000018189	1641	1637	1528	1525	1195	1224
ENSG00000018236	220	35	107	59	129	31
ENSG00000018280	56	87	92	138	160	240
ENSG00000018408	1052	526	405	521	500	725
ENSG00000018510	582	354	405	459	512	489
ENSG00000018607	0	0	0	0	0	0
ENSG00000018610	237	175	193	169	244	218
ENSG00000018625	59	117	22	60	40	102
ENSG00000018699	253	160	154	146	149	188
ENSG00000018869	85	51	63	53	48	44
ENSG00000019102	629	433	439	456	309	334
ENSG00000019144	1490	1629	659	1199	504	1456
ENSG00000019169	7	24	10	173	144	172
ENSG00000019186	1	70	63	192	10	15
ENSG00000019485	613	411	418	348	282	218
ENSG00000019505	57	12	15	34	12	214
ENSG00000019549	212	242	212	114	184	232
ENSG00000019582	3227	3011	3241	3112	3172	2970
ENSG00000019991	167	136	106	126	106	131
ENSG00000019995	205	153	104	133	87	127
ENSG00000020129	551	726	421	715	373	516
ENSG00000020181	854	673	321	491	369	615
ENSG00000020219	0	1	1	3	2	0
ENSG00000020256	234	147	126	134	124	153
ENSG00000020426	128	109	123	107	125	117
ENSG00000020577	338	791	196	998	243	542
ENSG00000020633	626	307	714	399	761	392
ENSG00000020922	525	285	323	315	318	298
ENSG00000021300	656	423	566	429	563	434
ENSG00000021355	707	598	585	698	858	904
ENSG00000021461	6	1	3	2	1	1
ENSG00000021488	17	21	34	35	32	11
ENSG00000021574	211	199	243	223	247	220
ENSG00000021645	28	45	26	51	38	42
ENSG00000021762	471	549	298	421	306	342
ENSG00000021776	804	524	559	483	475	445
ENSG00000021826	85	57	79	15	33	92
ENSG00000021852	0	0	0	1	1	0
ENSG00000022267	2330	1493	2219	659	1544	1025
ENSG00000022277	688	580	622	549	646	692
ENSG00000022355	1	0	0	2	1	0
ENSG00000022556	0	0	0	1	0	0
ENSG00000022567	469	317	378	386	317	225
ENSG00000022840	1199	1144	1084	1151	1009	1181
ENSG00000022976	205	198	181	187	131	148
ENSG00000023041	749	681	778	599	572	481
ENSG00000023171	303	148	297	169	205	147
ENSG00000023191	4	7	5	51	1	91
ENSG00000023228	863	495	609	578	653	675
ENSG00000023287	679	499	577	562	658	562
ENSG00000023318	963	757	853	873	813	646
ENSG00000023330	386	259	244	326	341	425
ENSG00000023445	1428	613	1175	751	1227	765
ENSG00000023516	1141	599	768	757	648	625
ENSG00000023572	258	174	231	200	251	228
ENSG00000023608	94	68	86	54	80	115
ENSG00000023697	365	321	301	382	323	487
ENSG00000023734	590	433	513	549	648	700
ENSG00000023839	42	25	39	24	17	11
ENSG00000023892	1126	795	1187	836	952	543
ENSG00000023902	791	635	893	848	1149	623
ENSG00000023909	353	336	325	421	284	331
ENSG00000024048	1114	866	841	773	677	617
ENSG00000024422	808	1098	656	894	702	1415
ENSG00000024526	28	14	31	22	62	9
ENSG00000024862	393	250	352	255	369	413
ENSG00000025039	581	84	340	171	354	809
ENSG00000025156	249	148	191	143	204	174
ENSG00000025293	640	368	504	405	655	489
ENSG00000025423	829	92	278	205	346	48
ENSG00000025434	508	414	469	484	704	370
ENSG00000025708	743	920	1018	1153	1392	849
ENSG00000025770	595	533	652	384	560	550
ENSG00000025772	310	344	297	337	304	529
ENSG00000025796	1530	958	1136	1225	991	1004
ENSG00000025800	809	627	682	671	731	832
ENSG00000026025	1490	1702	1609	1639	1468	1551
ENSG00000026036	105	133	64	112	30	69
